#locusName	Id	IdType	description if any, GO is via pfam2go/interpro
Sphfalx0010s0271	PF00005	PFAM	ABC transporter
Sphfalx0105s0050	PF06955	PFAM	Xyloglucan endo-transglycosylase (XET) C-terminus
Sphfalx0105s0050	PF00722	PFAM	Glycosyl hydrolases family 16
Sphfalx0057s0022	PF07797	PFAM	Protein of unknown function (DUF1639)
Sphfalx0165s0026	PF13837	PFAM	Myb/SANT-like DNA-binding domain
Sphfalx0049s0092	PF03931	PFAM	Skp1 family, tetramerisation domain
Sphfalx0049s0092	PF01466	PFAM	Skp1 family, dimerisation domain
Sphfalx0023s0059	PF01878	PFAM	EVE domain
Sphfalx0001s0196	PF09439	PFAM	Signal recognition particle receptor beta subunit
Sphfalx0001s0131	PF01778	PFAM	Ribosomal L28e protein family
Sphfalx0053s0020	PF01241	PFAM	Photosystem I psaG / psaK
Sphfalx0044s0005	PF01764	PFAM	Lipase (class 3)
Sphfalx0045s0115	PF14214	PFAM	Helitron helicase-like domain at N-terminus
Sphfalx0045s0115	PF05970	PFAM	PIF1-like helicase
Sphfalx0008s0252	PF13812	PFAM	Pentatricopeptide repeat domain
Sphfalx0008s0252	PF01535	PFAM	PPR repeat
Sphfalx0008s0252	PF13041	PFAM	PPR repeat family 
Sphfalx0012s0100	PF12174	PFAM	RCD1-SRO-TAF4 (RST) plant domain
Sphfalx0012s0100	PF00644	PFAM	Poly(ADP-ribose) polymerase catalytic domain
Sphfalx0225s0017	PF03985	PFAM	Paf1 
Sphfalx0177s0031	PF11815	PFAM	Domain of unknown function (DUF3336)
Sphfalx0010s0187	PF02183	PFAM	Homeobox associated leucine zipper
Sphfalx0010s0187	PF00046	PFAM	Homeodomain
Sphfalx0161s0017	PF14382	PFAM	Exosome complex exonuclease RRP4 N-terminal region
Sphfalx0161s0017	PF15985	PFAM	KH domain
Sphfalx0047s0045	PF00010	PFAM	Helix-loop-helix DNA-binding domain
Sphfalx0005s0008	PF05637	PFAM	galactosyl transferase GMA12/MNN10 family
Sphfalx0012s0241	PF13837	PFAM	Myb/SANT-like DNA-binding domain
Sphfalx0076s0035	PF02798	PFAM	Glutathione S-transferase, N-terminal domain
Sphfalx0076s0035	PF00043	PFAM	Glutathione S-transferase, C-terminal domain
Sphfalx0095s0080	PF13857	PFAM	Ankyrin repeats (many copies)
Sphfalx0095s0080	PF12796	PFAM	Ankyrin repeats (3 copies)
Sphfalx0228s0014	PF03153	PFAM	Transcription factor IIA, alpha/beta subunit
Sphfalx0060s0040	PF00278	PFAM	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
Sphfalx0060s0040	PF02784	PFAM	Pyridoxal-dependent decarboxylase, pyridoxal binding domain
Sphfalx0369s0007	PF01535	PFAM	PPR repeat
Sphfalx0369s0007	PF13041	PFAM	PPR repeat family 
Sphfalx0101s0065	PF07714	PFAM	Protein tyrosine kinase
Sphfalx0004s0266	PF00505	PFAM	HMG (high mobility group) box
Sphfalx0003s0065	PF00407	PFAM	Pathogenesis-related protein Bet v I family
Sphfalx0032s0046	PF00067	PFAM	Cytochrome P450
Sphfalx0018s0103	PF00076	PFAM	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Sphfalx0062s0111	PF14492	PFAM	Elongation Factor G, domain II
Sphfalx0062s0111	PF03144	PFAM	Elongation factor Tu domain 2
Sphfalx0062s0111	PF00679	PFAM	Elongation factor G C-terminus
Sphfalx0062s0111	PF03764	PFAM	Elongation factor G, domain IV
Sphfalx0062s0111	PF00009	PFAM	Elongation factor Tu GTP binding domain
Sphfalx0220s0029	PF06058	PFAM	Dcp1-like decapping family
Sphfalx0004s0082	PF00622	PFAM	SPRY domain
Sphfalx0002s0291	PF17123	PFAM	RING-like zinc finger
Sphfalx0002s0291	PF14624	PFAM	VWA / Hh  protein intein-like
Sphfalx0002s0291	PF00092	PFAM	von Willebrand factor type A domain
Sphfalx0333s0008	PF00881	PFAM	Nitroreductase family
Sphfalx0337s0009	PF00271	PFAM	Helicase conserved C-terminal domain
Sphfalx0337s0009	PF00176	PFAM	SNF2 family N-terminal domain
Sphfalx0070s0022	PF13839	PFAM	GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
Sphfalx0019s0097	PF01151	PFAM	GNS1/SUR4 family
Sphfalx0201s0025	PF05911	PFAM	Filament-like plant protein, long coiled-coil
Sphfalx0070s0103	PF13098	PFAM	Thioredoxin-like domain
Sphfalx0221s0015	PF00249	PFAM	Myb-like DNA-binding domain
Sphfalx0029s0203	PF02992	PFAM	Transposase family tnp2
Sphfalx0088s0032	PF01342	PFAM	SAND domain
Sphfalx0002s0253	PF08399	PFAM	VWA N-terminal
Sphfalx0002s0253	PF02743	PFAM	Cache domain
Sphfalx0002s0253	PF13519	PFAM	von Willebrand factor type A domain
Sphfalx0094s0026	PF13359	PFAM	DDE superfamily endonuclease
Sphfalx0020s0115	PF03810	PFAM	Importin-beta N-terminal domain
Sphfalx0224s0022	PF00248	PFAM	Aldo/keto reductase family
Sphfalx0001s0317	PF12899	PFAM	Alkaline and neutral invertase
Sphfalx0043s0133	PF07889	PFAM	Protein of unknown function (DUF1664)
Sphfalx0279s0018	PF02701	PFAM	Dof domain, zinc finger
Sphfalx0091s0049	PF02136	PFAM	Nuclear transport factor 2 (NTF2) domain
Sphfalx0188s0010	PF00098	PFAM	Zinc knuckle
Sphfalx0188s0010	PF14227	PFAM	
Sphfalx0225s0021	PF00067	PFAM	Cytochrome P450
Sphfalx0000s0346	PF09118	PFAM	Domain of unknown function (DUF1929)
Sphfalx0000s0346	PF07250	PFAM	Glyoxal oxidase N-terminus
Sphfalx0025s0186	PF12698	PFAM	ABC-2 family transporter protein
Sphfalx0025s0186	PF00005	PFAM	ABC transporter
Sphfalx0171s0007	PF02358	PFAM	Trehalose-phosphatase
Sphfalx0171s0007	PF00982	PFAM	Glycosyltransferase family 20
Sphfalx0076s0027	PF03195	PFAM	Lateral organ boundaries (LOB) domain
Sphfalx0015s0183	PF07885	PFAM	Ion channel
Sphfalx0015s0183	PF00027	PFAM	Cyclic nucleotide-binding domain
Sphfalx0015s0183	PF11834	PFAM	KHA, dimerisation domain of potassium ion channel
Sphfalx0015s0183	PF12796	PFAM	Ankyrin repeats (3 copies)
Sphfalx0040s0078	PF13632	PFAM	Glycosyl transferase family group 2
Sphfalx0024s0122	PF00076	PFAM	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Sphfalx0014s0141	PF00583	PFAM	Acetyltransferase (GNAT) family
Sphfalx0188s0024	PF00294	PFAM	pfkB family carbohydrate kinase
Sphfalx0066s0012	PF01105	PFAM	emp24/gp25L/p24 family/GOLD
Sphfalx0167s0014	PF00067	PFAM	Cytochrome P450
Sphfalx0249s0011	PF01494	PFAM	FAD binding domain
Sphfalx0207s0014	PF01453	PFAM	D-mannose binding lectin
Sphfalx0207s0014	PF00069	PFAM	Protein kinase domain
Sphfalx0215s0037	PF00153	PFAM	Mitochondrial carrier protein
Sphfalx0252s0001	PF00226	PFAM	DnaJ domain
Sphfalx0252s0001	PF01556	PFAM	DnaJ C terminal domain
Sphfalx0001s0360	PF03169	PFAM	OPT oligopeptide transporter protein
Sphfalx0085s0058	PF05903	PFAM	PPPDE putative peptidase domain
Sphfalx0128s0027	PF04969	PFAM	CS domain
Sphfalx0027s0045	PF06203	PFAM	CCT motif
Sphfalx0056s0069	PF13193	PFAM	AMP-binding enzyme C-terminal domain
Sphfalx0056s0069	PF16177	PFAM	Acetyl-coenzyme A synthetase N-terminus
Sphfalx0056s0069	PF00501	PFAM	AMP-binding enzyme
Sphfalx0227s0014	PF05978	PFAM	Ion channel regulatory protein UNC-93
Sphfalx0187s0009	PF01106	PFAM	NifU-like domain
Sphfalx0176s0005	PF00646	PFAM	F-box domain
Sphfalx0109s0011	PF01207	PFAM	Dihydrouridine synthase (Dus)
Sphfalx0281s0009	PF00628	PFAM	PHD-finger
Sphfalx0002s0071	PF01565	PFAM	FAD binding domain 
Sphfalx0002s0071	PF09265	PFAM	Cytokinin dehydrogenase 1, FAD and cytokinin binding
Sphfalx0010s0266	PF03398	PFAM	Regulator of Vps4 activity in the MVB pathway
Sphfalx0011s0167	PF09728	PFAM	Myosin-like coiled-coil protein
Sphfalx0000s0677	PF02170	PFAM	PAZ domain
Sphfalx0000s0677	PF00636	PFAM	Ribonuclease III domain
Sphfalx0349s0008	PF08534	PFAM	Redoxin
Sphfalx0359s0014	PF04998	PFAM	RNA polymerase Rpb1, domain 5
Sphfalx0086s0024	PF00582	PFAM	Universal stress protein family
Sphfalx0033s0031	PF00931	PFAM	NB-ARC domain
Sphfalx0137s0028	PF09133	PFAM	SANTA (SANT Associated)
Sphfalx0020s0211	PF00475	PFAM	Imidazoleglycerol-phosphate dehydratase
Sphfalx0159s0039	PF02689	PFAM	Helicase
Sphfalx0159s0039	PF05970	PFAM	PIF1-like helicase
Sphfalx0023s0187	PF05699	PFAM	hAT family C-terminal dimerisation region
Sphfalx0009s0105	PF00929	PFAM	Exonuclease
Sphfalx0249s0025	PF00067	PFAM	Cytochrome P450
Sphfalx0171s0044	PF12796	PFAM	Ankyrin repeats (3 copies)
Sphfalx0034s0069	PF01946	PFAM	Thi4 family
Sphfalx0000s0426	PF03184	PFAM	DDE superfamily endonuclease
Sphfalx0161s0041	PF03479	PFAM	Plants and Prokaryotes Conserved (PCC) domain
Sphfalx0207s0027	PF00628	PFAM	PHD-finger
Sphfalx0026s0002	PF00614	PFAM	Phospholipase D Active site motif
Sphfalx0026s0002	PF00168	PFAM	C2 domain
Sphfalx0266s0022	PF01277	PFAM	Oleosin
Sphfalx0034s0124	PF08263	PFAM	Leucine rich repeat N-terminal domain
Sphfalx0034s0124	PF07714	PFAM	Protein tyrosine kinase
Sphfalx0060s0071	PF13540	PFAM	Regulator of chromosome condensation (RCC1) repeat
Sphfalx0060s0071	PF00415	PFAM	Regulator of chromosome condensation (RCC1) repeat
Sphfalx0021s0079	PF07714	PFAM	Protein tyrosine kinase
Sphfalx0061s0038	PF03556	PFAM	Cullin binding
Sphfalx0082s0058	PF02902	PFAM	Ulp1 protease family, C-terminal catalytic domain
Sphfalx0004s0256	PF00083	PFAM	Sugar (and other) transporter
Sphfalx0058s0033	PF01535	PFAM	PPR repeat
Sphfalx0058s0033	PF13041	PFAM	PPR repeat family 
Sphfalx0010s0261	PF00403	PFAM	Heavy-metal-associated domain
Sphfalx0001s0152	PF03547	PFAM	Membrane transport protein
Sphfalx0071s0022	PF00561	PFAM	alpha/beta hydrolase fold
Sphfalx0242s0001	PF03547	PFAM	Membrane transport protein
Sphfalx0030s0142	PF01066	PFAM	CDP-alcohol phosphatidyltransferase
Sphfalx0228s0012	PF02970	PFAM	Tubulin binding cofactor A
Sphfalx0047s0126	PF01124	PFAM	MAPEG family
Sphfalx0010s0054	PF14383	PFAM	DUF761-associated sequence motif 
Sphfalx0010s0054	PF14309	PFAM	Domain of unknown function (DUF4378)
Sphfalx0043s0145	PF00179	PFAM	Ubiquitin-conjugating enzyme
Sphfalx0137s0007	PF13855	PFAM	Leucine rich repeat
Sphfalx0137s0007	PF07714	PFAM	Protein tyrosine kinase
Sphfalx0137s0007	PF12819	PFAM	Malectin-like domain
Sphfalx0006s0316	PF01066	PFAM	CDP-alcohol phosphatidyltransferase
Sphfalx0099s0039	PF00026	PFAM	Eukaryotic aspartyl protease
Sphfalx0017s0096	PF00903	PFAM	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Sphfalx0000s0750	PF04172	PFAM	LrgB-like family 
Sphfalx0023s0069	PF05462	PFAM	Slime mold cyclic AMP receptor
Sphfalx0127s0040	PF05057	PFAM	Putative serine esterase (DUF676)
Sphfalx0212s0030	PF05687	PFAM	BES1/BZR1 plant transcription factor, N-terminal
Sphfalx0293s0008	PF07876	PFAM	Stress responsive A/B Barrel Domain
Sphfalx0003s0277	PF02536	PFAM	mTERF
Sphfalx0165s0011	PF00240	PFAM	Ubiquitin family
Sphfalx0165s0011	PF02179	PFAM	BAG domain
Sphfalx0241s0014	PF00098	PFAM	Zinc knuckle
Sphfalx0241s0014	PF13961	PFAM	Domain of unknown function (DUF4219)
Sphfalx0241s0014	PF13976	PFAM	GAG-pre-integrase domain
Sphfalx0199s0006	PF00400	PFAM	WD domain, G-beta repeat
Sphfalx0140s0006	PF00314	PFAM	Thaumatin family
Sphfalx0018s0146	PF06632	PFAM	DNA double-strand break repair and V(D)J recombination protein XRCC4
Sphfalx0000s0017	PF05970	PFAM	PIF1-like helicase
Sphfalx0002s0417	PF01862	PFAM	Pyruvoyl-dependent arginine decarboxylase (PvlArgDC)
Sphfalx0000s0264	PF07904	PFAM	Chromatin modification-related protein EAF7
Sphfalx0125s0051	PF00155	PFAM	Aminotransferase class I and II
Sphfalx0029s0148	PF02115	PFAM	RHO protein GDP dissociation inhibitor
Sphfalx0211s0016	PF09465	PFAM	Lamin-B receptor of TUDOR domain
Sphfalx0052s0027	PF00505	PFAM	HMG (high mobility group) box
Sphfalx0222s0019	PF00249	PFAM	Myb-like DNA-binding domain
Sphfalx0085s0027	PF00076	PFAM	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Sphfalx0005s0253	PF08477	PFAM	Ras of Complex, Roc, domain of DAPkinase
Sphfalx0199s0010	PF05970	PFAM	PIF1-like helicase
Sphfalx0051s0003	PF00025	PFAM	ADP-ribosylation factor family
Sphfalx0045s0013	PF01336	PFAM	OB-fold nucleic acid binding domain
Sphfalx0045s0013	PF08646	PFAM	Replication factor-A C terminal domain
Sphfalx0045s0013	PF16900	PFAM	Replication protein A OB domain
Sphfalx0032s0103	PF09793	PFAM	Anticodon-binding domain
Sphfalx0041s0103	PF00004	PFAM	ATPase family associated with various cellular activities (AAA)
Sphfalx0000s0638	PF00106	PFAM	short chain dehydrogenase
Sphfalx0083s0015	PF00657	PFAM	GDSL-like Lipase/Acylhydrolase
Sphfalx0001s0334	PF00249	PFAM	Myb-like DNA-binding domain
Sphfalx0016s0246	PF00628	PFAM	PHD-finger
Sphfalx0192s0023	PF06725	PFAM	3D domain
Sphfalx0137s0015	PF01780	PFAM	Ribosomal L37ae protein family
Sphfalx0069s0032	PF15801	PFAM	zf-MYND-like zinc finger, mRNA-binding
Sphfalx0069s0032	PF03372	PFAM	Endonuclease/Exonuclease/phosphatase family
Sphfalx0012s0243	PF02163	PFAM	Peptidase family M50
Sphfalx0036s0054	PF03195	PFAM	Lateral organ boundaries (LOB) domain
Sphfalx0151s0005	PF00847	PFAM	AP2 domain
Sphfalx0043s0121	PF01245	PFAM	Ribosomal protein L19
Sphfalx0085s0075	PF12874	PFAM	Zinc-finger of C2H2 type
Sphfalx0250s0012	PF00249	PFAM	Myb-like DNA-binding domain
Sphfalx0075s0064	PF00533	PFAM	BRCA1 C Terminus (BRCT) domain
Sphfalx0075s0064	PF12738	PFAM	twin BRCT domain
Sphfalx0013s0010	PF14365	PFAM	Neprosin activation peptide
Sphfalx0013s0010	PF03080	PFAM	Neprosin
Sphfalx0081s0072	PF03850	PFAM	Transcription factor Tfb4
Sphfalx0082s0083	PF14432	PFAM	DYW family of nucleic acid deaminases
Sphfalx0082s0083	PF01535	PFAM	PPR repeat
Sphfalx0082s0083	PF13041	PFAM	PPR repeat family 
Sphfalx0000s0196	PF00847	PFAM	AP2 domain
Sphfalx0009s0096	PF08144	PFAM	CPL (NUC119) domain
Sphfalx0047s0038	PF01734	PFAM	Patatin-like phospholipase
Sphfalx0012s0144	PF03114	PFAM	BAR domain
Sphfalx0012s0144	PF00169	PFAM	PH domain
Sphfalx0012s0144	PF12796	PFAM	Ankyrin repeats (3 copies)
Sphfalx0012s0144	PF01412	PFAM	Putative GTPase activating protein for Arf
Sphfalx0279s0016	PF13098	PFAM	Thioredoxin-like domain
Sphfalx0642s0001	PF00931	PFAM	NB-ARC domain
Sphfalx0048s0001	PF00005	PFAM	ABC transporter
Sphfalx0048s0001	PF00664	PFAM	ABC transporter transmembrane region
Sphfalx0000s0470	PF00696	PFAM	Amino acid kinase family
Sphfalx0003s0041	PF10584	PFAM	Proteasome subunit A N-terminal signature
Sphfalx0003s0041	PF00227	PFAM	Proteasome subunit
Sphfalx0268s0018	PF03473	PFAM	MOSC domain
Sphfalx0268s0018	PF03476	PFAM	MOSC N-terminal beta barrel domain
Sphfalx0060s0102	PF03645	PFAM	Tctex-1 family
Sphfalx0005s0196	PF01585	PFAM	G-patch domain
Sphfalx0115s0067	PF12432	PFAM	Protein of unknown function (DUF3677) 
Sphfalx0120s0024	PF00098	PFAM	Zinc knuckle
Sphfalx0120s0024	PF03126	PFAM	Plus-3 domain
Sphfalx0076s0010	PF00153	PFAM	Mitochondrial carrier protein
Sphfalx0081s0025	PF14214	PFAM	Helitron helicase-like domain at N-terminus
Sphfalx0081s0025	PF05970	PFAM	PIF1-like helicase
Sphfalx0027s0154	PF02469	PFAM	Fasciclin domain
Sphfalx0001s0396	PF00464	PFAM	Serine hydroxymethyltransferase
Sphfalx0002s0189	PF02809	PFAM	Ubiquitin interaction motif
Sphfalx0002s0189	PF13519	PFAM	von Willebrand factor type A domain
Sphfalx0070s0037	PF10032	PFAM	Phosphate transport (Pho88)
Sphfalx0118s0030	PF13837	PFAM	Myb/SANT-like DNA-binding domain
Sphfalx0075s0063	PF13802	PFAM	Galactose mutarotase-like
Sphfalx0075s0063	PF01055	PFAM	Glycosyl hydrolases family 31 
Sphfalx0088s0049	PF03184	PFAM	DDE superfamily endonuclease
Sphfalx0259s0031	PF01501	PFAM	Glycosyl transferase family 8
Sphfalx0074s0027	PF01490	PFAM	Transmembrane amino acid transporter protein
Sphfalx0208s0029	PF11698	PFAM	V-ATPase subunit H
Sphfalx0208s0029	PF03224	PFAM	V-ATPase subunit H
Sphfalx0031s0086	PF00632	PFAM	HECT-domain (ubiquitin-transferase)
Sphfalx0031s0086	PF00415	PFAM	Regulator of chromosome condensation (RCC1) repeat
Sphfalx0033s0014	PF02190	PFAM	ATP-dependent protease La (LON) substrate-binding domain 
Sphfalx0001s0121	PF03110	PFAM	SBP domain
Sphfalx0026s0092	PF00005	PFAM	ABC transporter
Sphfalx0026s0092	PF01061	PFAM	ABC-2 type transporter
Sphfalx0011s0188	PF00931	PFAM	NB-ARC domain
Sphfalx0231s0025	PF00759	PFAM	Glycosyl hydrolase family 9
Sphfalx0116s0069	PF08766	PFAM	DEK C terminal domain
Sphfalx0023s0040	PF04725	PFAM	Photosystem II 10 kDa polypeptide PsbR
Sphfalx0011s0181	PF01196	PFAM	Ribosomal protein L17
Sphfalx0167s0015	PF00067	PFAM	Cytochrome P450
Sphfalx0012s0246	PF00154	PFAM	recA bacterial DNA recombination protein
Sphfalx0065s0140	PF08263	PFAM	Leucine rich repeat N-terminal domain
Sphfalx0065s0140	PF13855	PFAM	Leucine rich repeat
Sphfalx0065s0140	PF07714	PFAM	Protein tyrosine kinase
Sphfalx0020s0094	PF16561	PFAM	Glycogen recognition site of AMP-activated protein kinase
Sphfalx0099s0010	PF16891	PFAM	Serine-threonine protein phosphatase N-terminal domain
Sphfalx0099s0010	PF00149	PFAM	Calcineurin-like phosphoesterase
Sphfalx0084s0012	PF03184	PFAM	DDE superfamily endonuclease
Sphfalx0062s0082	PF02689	PFAM	Helicase
Sphfalx0062s0082	PF14214	PFAM	Helitron helicase-like domain at N-terminus
Sphfalx0062s0082	PF05970	PFAM	PIF1-like helicase
Sphfalx0056s0109	PF00400	PFAM	WD domain, G-beta repeat
Sphfalx0062s0114	PF00745	PFAM	Glutamyl-tRNAGlu reductase, dimerisation domain
Sphfalx0062s0114	PF01488	PFAM	Shikimate / quinate 5-dehydrogenase
Sphfalx0062s0114	PF05201	PFAM	Glutamyl-tRNAGlu reductase, N-terminal domain
Sphfalx0004s0058	PF14389	PFAM	Leucine-zipper of ternary complex factor MIP1
Sphfalx0104s0018	PF00403	PFAM	Heavy-metal-associated domain
Sphfalx0262s0013	PF01842	PFAM	ACT domain
Sphfalx0262s0013	PF07714	PFAM	Protein tyrosine kinase
Sphfalx0043s0079	PF09261	PFAM	Alpha mannosidase middle domain
Sphfalx0043s0079	PF01074	PFAM	Glycosyl hydrolases family 38 N-terminal domain
Sphfalx0043s0079	PF07748	PFAM	Glycosyl hydrolases family 38 C-terminal domain
Sphfalx0051s0016	PF04525	PFAM	LURP-one-related
Sphfalx0067s0026	PF07714	PFAM	Protein tyrosine kinase
Sphfalx0077s0022	PF07887	PFAM	Calmodulin binding protein-like
Sphfalx0001s0177	PF01336	PFAM	OB-fold nucleic acid binding domain
Sphfalx0001s0177	PF00152	PFAM	tRNA synthetases class II (D, K and N) 
Sphfalx0499s0002	PF16095	PFAM	C-terminal of Roc, COR, domain
Sphfalx0012s0196	PF01650	PFAM	Peptidase C13 family
Sphfalx0036s0133	PF13181	PFAM	Tetratricopeptide repeat
Sphfalx0036s0133	PF13414	PFAM	TPR repeat
Sphfalx0097s0039	PF01680	PFAM	SOR/SNZ family
Sphfalx0123s0044	PF00675	PFAM	Insulinase (Peptidase family M16)
Sphfalx0123s0044	PF05193	PFAM	Peptidase M16 inactive domain
Sphfalx0000s0001	PF02234	PFAM	Cyclin-dependent kinase inhibitor
Sphfalx0010s0268	PF13960	PFAM	Domain of unknown function (DUF4218)
Sphfalx0025s0209	PF00665	PFAM	Integrase core domain
Sphfalx0112s0018	PF03184	PFAM	DDE superfamily endonuclease
Sphfalx0060s0032	PF00544	PFAM	Pectate lyase
Sphfalx0086s0020	PF00777	PFAM	Glycosyltransferase family 29 (sialyltransferase)
Sphfalx0083s0004	PF14144	PFAM	Seed dormancy control
Sphfalx0083s0004	PF13857	PFAM	Ankyrin repeats (many copies)
Sphfalx0083s0004	PF12796	PFAM	Ankyrin repeats (3 copies)
Sphfalx0073s0010	PF03999	PFAM	Microtubule associated protein (MAP65/ASE1 family)
Sphfalx0220s0004	PF00514	PFAM	Armadillo/beta-catenin-like repeat
Sphfalx0027s0189	PF01734	PFAM	Patatin-like phospholipase
Sphfalx0000s0434	PF00498	PFAM	FHA domain
Sphfalx0040s0102	PF08513	PFAM	LisH
Sphfalx0040s0102	PF00400	PFAM	WD domain, G-beta repeat
Sphfalx0270s0003	PF00481	PFAM	Protein phosphatase 2C
Sphfalx0236s0008	PF07883	PFAM	Cupin domain
Sphfalx0151s0016	PF06886	PFAM	Targeting protein for Xklp2 (TPX2)
Sphfalx0131s0002	PF02115	PFAM	RHO protein GDP dissociation inhibitor
Sphfalx0024s0114	PF01554	PFAM	MatE
Sphfalx0031s0065	PF13450	PFAM	NAD(P)-binding Rossmann-like domain
Sphfalx0031s0065	PF01494	PFAM	FAD binding domain
Sphfalx0000s0775	PF12333	PFAM	Rix1 complex component involved in 60S ribosome maturation
Sphfalx0017s0083	PF04640	PFAM	PLATZ transcription factor
Sphfalx0031s0134	PF01412	PFAM	Putative GTPase activating protein for Arf
